tag	precision	recall	f1	support	model
By consumer	1	1	1	4	lightgbm_tfidf_fasttext_sentence_transformers
By provider	1	1	1	20	lightgbm_tfidf_fasttext_sentence_transformers
Bill unclear/not received	1	0.9286	0.963	14	lightgbm_tfidf_fasttext_sentence_transformers
Refused a service	0.9286	1	0.963	13	lightgbm_tfidf_fasttext_sentence_transformers
Credit default report	1	0.9286	0.963	14	lightgbm_tfidf_fasttext_sentence_transformers
Variation by provider	1	0.8889	0.9412	9	lightgbm_tfidf_fasttext_sentence_transformers
Financial hardship/repayment arrangement	1	0.875	0.9333	8	lightgbm_tfidf_fasttext_sentence_transformers
Disconnection in error	1	0.875	0.9333	8	lightgbm_tfidf_fasttext_sentence_transformers
Access denied	1	0.8571	0.9231	7	lightgbm_tfidf_fasttext_sentence_transformers
Unable to contract	1	0.8571	0.9231	7	lightgbm_tfidf_fasttext_sentence_transformers
Sold debt	1	0.8571	0.9231	7	lightgbm_tfidf_fasttext_sentence_transformers
Barring/suspension/disconnection	1	0.8571	0.9231	7	lightgbm_tfidf_fasttext_sentence_transformers
Non-financial loss - privacy	1	0.8333	0.9091	6	lightgbm_tfidf_fasttext_sentence_transformers
Unsuitable payment options	1	0.8333	0.9091	6	lightgbm_tfidf_fasttext_sentence_transformers
By 3rd party	1	0.8333	0.9091	12	lightgbm_tfidf_fasttext_sentence_transformers
Other financial loss	1	0.8333	0.9091	12	lightgbm_tfidf_fasttext_sentence_transformers
Direct debit	1	0.8333	0.9091	12	lightgbm_tfidf_fasttext_sentence_transformers
Late payment/dishonour	1	0.8333	0.9091	6	lightgbm_tfidf_fasttext_sentence_transformers
Delay	1	0.8182	0.9	11	lightgbm_tfidf_fasttext_sentence_transformers
Poor mobile coverage	1	0.8	0.8889	10	lightgbm_tfidf_fasttext_sentence_transformers
Product unsuitable	0.8	1	0.8889	4	lightgbm_tfidf_fasttext_sentence_transformers
Request to change account holder	1	0.8	0.8889	5	lightgbm_tfidf_fasttext_sentence_transformers
Information inaccurate	1	0.8	0.8889	10	lightgbm_tfidf_fasttext_sentence_transformers
Connection/reconnection	1	0.8	0.8889	5	lightgbm_tfidf_fasttext_sentence_transformers
Uncontactable	1	0.75	0.8571	4	lightgbm_tfidf_fasttext_sentence_transformers
Unfair contract terms	1	0.6667	0.8	6	lightgbm_tfidf_fasttext_sentence_transformers
Missing payment	1	0.6667	0.8	6	lightgbm_tfidf_fasttext_sentence_transformers
Rudeness	0.8333	0.7143	0.7692	7	lightgbm_tfidf_fasttext_sentence_transformers
Object to collection	0.75	0.75	0.75	4	lightgbm_tfidf_fasttext_sentence_transformers
Number problem	1	0.5714	0.7273	7	lightgbm_tfidf_fasttext_sentence_transformers
Business loss	0.8	0.6667	0.7273	6	lightgbm_tfidf_fasttext_sentence_transformers
Restricted service	1	0.5455	0.7059	11	lightgbm_tfidf_fasttext_sentence_transformers
Slow data speed	0.5	1	0.6667	2	lightgbm_tfidf_fasttext_sentence_transformers
Unsuitable	1	0.5	0.6667	4	lightgbm_tfidf_fasttext_sentence_transformers
Unwelcome/life threatening communications	1	0.5	0.6667	6	lightgbm_tfidf_fasttext_sentence_transformers
Not liable for contract	1	0.5	0.6667	4	lightgbm_tfidf_fasttext_sentence_transformers
Customer Service Guarantee	1	0.5	0.6667	2	lightgbm_tfidf_fasttext_sentence_transformers
Inadequate documentation	1	0.5	0.6667	4	lightgbm_tfidf_fasttext_sentence_transformers
Inadequate explanation of product	0.6667	0.2857	0.4	7	lightgbm_tfidf_fasttext_sentence_transformers
Non-financial loss	0.4	0.3333	0.3636	6	lightgbm_tfidf_fasttext_sentence_transformers
Mishandled or inaccurate information - not personal	0.5	0.1667	0.25	6	lightgbm_tfidf_fasttext_sentence_transformers
Fault	1	0.1	0.1818	10	lightgbm_tfidf_fasttext_sentence_transformers
No notice of activity	0	0	0	0	lightgbm_tfidf_fasttext_sentence_transformers
Excess call/sms/mms charges	0	0	0	0	lightgbm_tfidf_fasttext_sentence_transformers
OOJ services	0	0	0	0	lightgbm_tfidf_fasttext_sentence_transformers
General telecommunications enquiry	0	0	0	0	lightgbm_tfidf_fasttext_sentence_transformers
Defective notice	0	0	0	 	lightgbm_tfidf_fasttext_sentence_transformers
